    n     repetitions   time
     0    48058001   0.000000
    10     5223124   0.000000
    20     1196581   0.000001
    30      540663   0.000002
    40      299379   0.000003
    50      214882   0.000005
    60      144191   0.000007
    70      114021   0.000009
    80       87968   0.000011
    90       70975   0.000014
   100       58110   0.000017
   200       15212   0.000066
   300        6848   0.000146
   400        3825   0.000261
   500        2501   0.000400
   600        1754   0.000570
   700        1262   0.000792
   800         986   0.001014
   900         780   0.001282
  1000         609   0.001642
  1100         512   0.001953
  1200         436   0.002294
  1300         351   0.002849
  1400         311   0.003215
  1500         273   0.003663
  1600         247   0.004049
  1700         216   0.004630
  1800         188   0.005319
  1900         176   0.005682
  2000         157   0.006401
